Month,Riders
Jan-60,648
Feb-60,646
Mar-60,639
Apr-60,654
May-60,630
Jun-60,622
Jul-60,617
Aug-60,613
Sep-60,661
Oct-60,695
Nov-60,690
Dec-60,707
Jan-61,817
Feb-61,839
Mar-61,810
Apr-61,789
May-61,760
Jun-61,724
Jul-61,704
Aug-61,691
Sep-61,745
Oct-61,803
Nov-61,780
Dec-61,761
Jan-62,857
Feb-62,907
Mar-62,873
Apr-62,910
May-62,900
Jun-62,880
Jul-62,867
Aug-62,854
Sep-62,928
Oct-62,1064
Nov-62,1103
Dec-62,1026
Jan-63,1102
Feb-63,1080
Mar-63,1034
Apr-63,1083
May-63,1078
Jun-63,1020
Jul-63,984
Aug-63,952
Sep-63,1033
Oct-63,1114
Nov-63,1160
Dec-63,1058
Jan-64,1209
Feb-64,1200
Mar-64,1130
Apr-64,1182
May-64,1152
Jun-64,1116
Jul-64,1098
Aug-64,1044
Sep-64,1142
Oct-64,1222
Nov-64,1234
Dec-64,1155
Jan-65,1286
Feb-65,1281
Mar-65,1224
Apr-65,1280
May-65,1228
Jun-65,1181
Jul-65,1156
Aug-65,1124
Sep-65,1152
Oct-65,1205
Nov-65,1260
Dec-65,1188
Jan-66,1212
Feb-66,1269
Mar-66,1246
Apr-66,1299
May-66,1284
Jun-66,1345
Jul-66,1341
Aug-66,1308
Sep-66,1448
Oct-66,1454
Nov-66,1467
Dec-66,1431
Jan-67,1510
Feb-67,1558
Mar-67,1536
Apr-67,1523
May-67,1492
Jun-67,1437
Jul-67,1365
Aug-67,1310
Sep-67,1441
Oct-67,1450
Nov-67,1424
Dec-67,1360
Jan-68,1429
Feb-68,1440
Mar-68,1414
Apr-68,1424
May-68,1408
Jun-68,1337
Jul-68,1258
Aug-68,1214
Sep-68,1326
Oct-68,1417
Nov-68,1417
Dec-68,1329
Jan-69,1461
Feb-69,1425
Mar-69,1419
Apr-69,1432
May-69,1394
Jun-69,1327
,
Portland Oregon average monthly bus ridership (/100) January 1973 through June 1982, n=114
